Neon + Tile test f32: Loop-5, M-128, P-128, N-128
Correct
  Ti   Tj   Tk   Time
  20  112    0   0.0027812
  20  112   16   0.00181771 recorded
  20  112   32   0.00178577 recorded
  20  112   48   0.00223388
  20  112   64   0.00256568
  20  112   80   0.00252345
  20  112   96   0.00259745
  20  112  112   0.00274316
  20  112  128   0.00278715
  20  128    0   0.00277592
  20  128   16   0.00176352 recorded
  20  128   32   0.00174148 recorded
  20  128   48   0.00219203
  20  128   64   0.00255489
  20  128   80   0.00249677
  20  128   96   0.00256425
  20  128  112   0.00271947
  20  128  128   0.00277461
  24   16    0   0.00278505
  24   16   16   0.00198006
  24   16   32   0.00191008
  24   16   48   0.00231957
  24   16   64   0.00262741
  24   16   80   0.00259203
  24   16   96   0.00265347
  24   16  112   0.00279117
  24   16  128   0.0028173
  24   32    0   0.00278136
  24   32   16   0.00186348 recorded
  24   32   32   0.00184231 recorded
  24   32   48   0.0022759
  24   32   64   0.00259839
  24   32   80   0.00255156
  24   32   96   0.00261533
  24   32  112   0.00276145
  24   32  128   0.00280436
  24   48    0   0.0027788
  24   48   16   0.00183292 recorded
  24   48   32   0.00180869 recorded
  24   48   48   0.00225365
  24   48   64   0.00258499
  24   48   80   0.00253543
  24   48   96   0.00260585
  24   48  112   0.00275059
  24   48  128   0.0027932
  24   64    0   0.00277703
  24   64   16   0.00182464 recorded
  24   64   32   0.00178298 recorded
  24   64   48   0.0022303
  24   64   64   0.002563
  24   64   80   0.00252037
  24   64   96   0.00258514
  24   64  112   0.00273849
  24   64  128   0.00278849
  24   80    0   0.00277534
  24   80   16   0.0018116 recorded
  24   80   32   0.00177879 recorded
  24   80   48   0.00222657
  24   80   64   0.00256558
  24   80   80   0.00251787
  24   80   96   0.00258845
  24   80  112   0.00273763
  24   80  128   0.00278461
  24   96    0   0.00277797
  24   96   16   0.00181186 recorded
  24   96   32   0.00178509 recorded
  24   96   48   0.0022288
  24   96   64   0.00256843
  24   96   80   0.00252383
  24   96   96   0.00259066
  24   96  112   0.00274113
  24   96  128   0.0027902
  24  112    0   0.00277707
  24  112   16   0.00181758 recorded
  24  112   32   0.00177811 recorded
  24  112   48   0.0022293
  24  112   64   0.00256412
  24  112   80   0.00252046
  24  112   96   0.0025956
  24  112  112   0.00274289
  24  112  128   0.00278547
  24  128    0   0.0027749
  24  128   16   0.00175965 recorded
